age,annual_income,spending_score
45,59081,38
42,82856,57
56,113105,97
50,108858,27
18,39065,55
44,103460,33
69,108092,68
30,74693,86
58,46962,66
20,48295,10
56,33807,5
23,62348,74
25,46432,97
44,103285,38
26,111792,13
54,77854,31
50,60262,47
68,57080,100
59,21324,88
61,111267,52
41,55909,56
32,109339,15
49,39870,29
49,54578,8
41,92124,5
58,46790,29
69,45289,47
66,75129,68
66,113714,76
69,114246,45
29,35485,2
56,64482,27
19,106188,95
20,24748,36
66,106769,36
54,29435,26
66,23709,43
34,50355,27
66,75771,69
19,77799,20
19,33116,11
45,45470,74
40,62344,38
54,62918,6
49,72224,72
50,59298,23
18,100219,47
36,81629,90
19,86040,46
70,119518,12
61,119835,90
43,48016,13
49,43960,62
23,53591,82
49,102848,89
21,87641,97
28,56395,60
34,42700,43
55,54620,76
41,40559,100
22,113045,68
69,113396,5
51,81642,37
23,96539,72
39,41732,92
28,111362,31
65,50354,9
33,33843,51
50,91726,29
26,37640,78
23,72528,40
33,58413,41
46,72638,86
20,72736,11
37,88866,23
53,39087,1
36,61430,46
43,44504,21
20,27114,90
36,98859,36
37,119657,54
49,30975,87
24,31023,57
69,41447,1
58,110469,63
50,43959,54
57,86203,55
56,49703,40
35,29337,15
57,66427,21
18,81529,47
28,104665,73
45,51921,53
42,53307,9
67,47355,74
40,24835,52
48,40159,57
47,67605,26
59,58088,41
52,98752,35
24,75284,63
33,77043,25
43,55547,90
65,117007,75
69,102844,38
66,47532,2
19,54349,7
18,65445,82
65,25713,91
29,76178,34
22,69407,91
54,90340,17
49,70990,43
26,95672,59
58,85545,51
52,104791,54
36,78141,24
65,43793,25
33,76570,71
20,115084,52
37,57892,70
41,21015,88
50,81813,33
41,47712,49
69,28415,29
28,82292,63
66,43833,22
25,24158,26
53,82680,28
55,40309,85
57,26970,49
37,92474,71
52,106704,81
65,66540,84
42,40384,49
52,38017,20
42,95880,86
46,28702,92
35,20384,63
63,20404,61
35,60943,49
19,67926,71
52,49189,1
33,32763,96
58,38384,13
53,80100,94
50,118142,87
21,29860,51
50,100642,56
31,70612,83
38,43574,62
65,43524,32
37,89172,30
25,30916,29
24,24809,49
20,52201,45
34,73330,93
50,33456,30
65,76397,16
29,58765,40
68,54816,19
39,65106,18
39,73932,1
63,37100,78
47,77091,47
55,41949,66
55,90080,92
62,57744,94
68,65543,38
25,112193,51
44,56187,63
44,27239,4
51,34489,1
38,78017,8
47,81877,29
50,63125,55
45,69922,3
64,114074,32
50,52049,10
22,57131,74
65,62944,83
36,93963,34
21,44285,97
52,57626,87
66,62808,55
34,108464,92
61,73871,32
45,39198,50
47,39758,7
46,35254,93
63,64238,8
70,21252,65
23,59764,57
52,97709,67
58,57441,88
54,112234,87
41,73682,59
46,79494,72
66,101317,54
63,85215,67
70,98587,51
48,26949,97
52,75393,92
50,93553,8
69,26941,34
38,45934,35
49,43386,96
40,81886,88
50,95745,78
20,103251,32
35,114456,46
42,73413,16
59,76800,68
48,117239,37
20,62318,54
57,90173,85
63,90390,14
41,72329,95
67,63088,55
49,59811,48
64,75479,82
39,105392,7
40,107369,74
19,39963,7
44,75123,33
59,112705,23
19,93477,85
43,34388,19
34,25569,19
57,89836,36
50,56586,29
26,32015,60
60,65002,82
65,26254,2
56,37144,1
46,44214,47
59,100719,69
43,91774,20
52,26090,11
67,31637,2
42,42415,67
41,44071,87
30,78243,12
24,61240,20
53,103807,5
62,53434,37
37,89724,38
18,95697,94
25,48732,9
63,31314,98
33,43954,53
31,77108,44
29,107044,99
68,107505,86
40,56668,24
32,43061,81
45,99252,74
51,59749,30
19,36907,59
49,38777,87
40,113229,96
39,71745,81
68,111865,81
42,101818,14
39,43624,9
39,43321,40
66,30488,66
69,42574,25
59,25240,73
23,63221,22
32,30478,4
60,75645,26
54,39262,58
50,72796,29
25,24432,98
70,115257,87
61,84291,37
61,99104,75
22,79399,70
56,99714,18
21,70428,85
23,107731,42
62,20302,100
49,102558,41
69,20055,38
47,28717,34
64,48699,17
52,93686,37
57,87661,25
69,64247,76
33,36748,87
30,24621,86
67,35034,85
59,25126,27
47,25122,57
36,38030,31
34,102838,6
36,104717,91
45,75658,40
43,58638,98
54,87067,12
43,108869,53
70,54674,71
40,55854,10
26,66271,45
29,93688,17
